ID,Predict
0,28
1,62 71
2,59
3,10
4,86
5,14
6,32 94 72
7,29 50
8,75
9,15
10,96
11,61
12,91 24 74
13,40
14,28
15,24
16,9
17,58
18,72 89
19,20
20,97
21,36
22,84
23,18
24,67
25,64
26,66 7
27,23
28,28
29,42
30,3
31,68
32,45
33,58 87
34,8 4 50
35,69
36,70
37,89 9
38,82 55
39,37
40,97
41,68 45 25
42,24
43,62
44,44
45,47
46,33
47,72
48,83
49,22
50,2
51,89
52,91
53,25
54,61
55,30
56,97
57,51
58,11
59,64
60,91 29
61,31
62,71 57
63,3
64,62
65,70
66,50
67,77
68,6
69,63 13
70,74
71,45 11
72,50
73,54
74,74
75,48
76,97
77,81
78,28
79,58
80,21
81,25
82,2
83,36
84,69
85,23
86,78
87,73 21
88,28 3
89,14
90,49
91,40 21
92,89
93,45 29
94,15
95,94
96,59
97,19
98,36
99,1
100,53
101,59
102,79
103,75
104,19
105,49
106,72
107,15
108,71
109,2
110,87
111,24
112,95
113,36
114,71
115,75
116,60
117,20
118,70
119,1
120,59
121,31
122,75
123,23
124,88
125,11
126,16
127,32
128,53
129,98
130,89
131,19
132,88
133,8
134,49
135,83
136,58 96 68
137,45 74
138,43
139,42
140,84
141,73
142,86
143,8
144,50
145,-1
146,29
147,5
148,14
149,31
150,90
151,77
152,89
153,56
154,50
155,92
156,6
157,55
158,81
159,95
160,22
161,27 1
162,5
163,39
164,-1
165,94
166,56
167,63
168,96
169,70
170,81
171,63
172,53
173,0 20 33
174,98
175,82
176,33 42
177,48
178,73 79 98
179,12 16
180,94
181,42
182,58
183,-1
184,50 37
185,66
186,18
187,80
188,91
189,55
190,35
191,79
192,53
193,37 45
194,15
195,22
196,26
197,95 16
198,89
199,69
200,87 74
201,53 17
202,95 55
203,39
204,36
205,25
206,12
207,39
208,48
209,68
210,58
211,96 95 34
212,16
213,92
214,28
215,36
216,46
217,46
218,55 81
219,12
220,98
221,63
222,52
223,84
224,79
225,67
226,54
227,88
228,97 22 43
229,87
230,56 86 49
231,71
232,63
233,66 85
234,85 78 25
235,71
236,78
237,59
238,91
239,71 81
240,97
241,59
242,63
243,52
244,94
245,6
246,66 57
247,7
248,55 10
249,93
250,57
251,14 60
252,29
253,50 9
254,29
255,19 14
256,91
257,4
258,18
259,71
260,2 42
261,68
262,88
263,39
264,54
265,50
266,16 22 69
267,12
268,94
269,58
270,78
271,60 93
272,24
273,73
274,69
275,84 86
276,72 7
277,86
278,76
279,22
280,45
281,24
282,48
283,27
284,29 77
285,79
286,20 79
287,62
288,27
289,80
290,4
291,44
292,60
293,88
294,92 55
295,22
296,25
297,15
298,10
299,64
300,52 93
301,12
302,20
303,88 65
304,93
305,22
306,43
307,20
308,50
309,99
310,77
311,51
312,31 67 18
313,22
314,19
315,31
316,86
317,33
318,43
319,7 21
320,30
321,94
322,73
323,55
324,33 69
325,22
326,32
327,28
328,76
329,88
330,64
331,34 84 64
332,9
333,69
334,21
335,53
336,69
337,46
338,79
339,36
340,98
341,70
342,88
343,80 96
344,79
345,87
346,87
347,32 69
348,48 37 52
349,49
350,8
351,96
352,13
353,7 62
354,10
355,20
356,23
357,38
358,96
359,39
360,51
361,19
362,99
363,78
364,78
365,4
366,75
367,20
368,62
369,45
370,25 94
371,76
372,39
373,24
374,18
375,43
376,20
377,28 61
378,32
379,4
380,70
381,25
382,85
383,97
384,99
385,18
386,81 18
387,61
388,79
389,60
390,82 30 1
391,69
392,42
393,32
394,32
395,62
396,45 56
397,65
398,42
399,63
400,76
401,54
402,98
403,29
404,36
405,97
406,93 57
407,93
408,21
409,81
410,74
411,87
412,49
413,88
414,92
415,82
416,-1
417,88
418,71
419,16
420,62 29
421,2 63
422,34 55
423,61 28
424,28
425,42 4 79
426,68
427,39
428,25
429,10
430,78
431,21
432,81
433,97
434,82
435,15
436,85
437,70
438,55
439,13
440,20
441,58
442,61
443,62
444,21
445,78 14
446,24
447,69
448,1
449,21
