ID,Predict
0,92
1,2
2,31
3,23
4,99
5,-1
6,37
7,13
8,99
9,41
10,38
11,42
12,99
13,-1
14,94
15,9 82
16,84
17,99
18,37
19,-1
20,83
21,99
22,99
23,35
24,99
25,-1
26,35
27,91
28,99
29,-1
30,99
31,3 89
32,52 65
33,84
34,59
35,81
36,99
37,99
38,98
39,-1
40,99
41,99
42,-1
43,99
44,99
45,54
46,26
47,10
48,6 73
49,99
50,42
51,99
52,47
53,2
54,99
55,99
56,99
57,51
58,99
59,29
60,-1
61,49
62,66
63,11
64,31
65,99
66,10
67,9 30
68,99
69,59
70,16
71,85
72,99
73,99
74,6
75,80
76,-1
77,-1
78,99
79,-1
80,99
81,18
82,10
83,99
84,41
85,-1
86,99
87,99
88,99
89,65
90,37
91,-1
92,47
93,99
94,2
95,17
96,67
97,73
98,-1
99,-1
100,-1
101,99
102,6
103,77
104,65
105,75
106,99
107,99
108,38
109,-1
110,99
111,99
112,-1
113,99
114,27
115,25
116,99
117,0 34
118,-1
119,99
120,99
121,99
122,19
123,99
124,-1
125,-1
126,72
127,47 96
128,77
129,-1
130,89
131,-1
132,25
133,99
134,-1
135,47
136,99
137,60
138,99
139,-1
140,99
141,99
142,99
143,99
144,-1
145,99
146,99
147,99
148,99
149,99
150,8
151,99
152,99
153,84
154,99
155,37 77
156,99
157,69
158,58
159,99
160,99
161,45
162,58
163,78
164,99
165,98
166,99
167,37
168,99
169,2 44
170,77
171,99
172,99
173,67
174,60
175,99
176,-1
177,46
178,-1
179,25
180,63
181,62
182,48
183,79
184,99
185,99
186,98
187,99
188,84
189,99
190,79
191,54
192,-1
193,-1
194,60
195,58
196,12
197,99
198,86
199,32
200,99
201,-1
202,99
203,19
204,68 98
205,99
206,-1
207,-1
208,99
209,99
210,-1
211,99
212,23
213,37
214,43
215,99
216,99
217,-1
218,20
219,99
220,-1
221,58
222,-1
223,13
224,53
225,31
226,99
227,99
228,43
229,99
230,67
231,99
232,6 71
233,68
234,-1
235,-1
236,-1
237,99
238,99
239,10 92
240,84
241,99
242,50
243,-1
244,26 81
245,74
246,99
247,-1
248,54
249,99
250,-1
251,33
252,99
253,49
254,25 82
255,54
256,47 96
257,23
258,-1
259,-1
260,10 80 92
261,-1
262,99
263,10
264,36
265,57 68 98
266,32
267,11
268,99
269,99
270,98
271,42
272,-1
273,99
274,10
275,-1
276,84
277,25
278,99
279,-1
280,99
281,99
282,99
283,6
284,36
285,59
286,62
287,-1
288,97
289,99
290,45
291,26 60 81
292,5
293,77
294,47
295,50
296,99
297,99
298,28
299,11
300,-1
301,99
302,22
303,85
304,97
305,99
306,41
307,99
308,99
309,99
310,47
311,44 74
312,33
313,99
314,2 44
315,99
316,99
317,26 60 81
318,99
319,17
320,36
321,71
322,99
323,43
324,43
325,69
326,16
327,99
328,99
329,37
330,99
331,-1
332,77
333,99
334,66
335,98
336,85
337,99
338,12
339,67
340,13
341,26 81
342,65
343,20
