ID,Predict
0,92
1,2
2,31
3,6 23
4,53
5,61
6,26 37
7,13 77
8,-1
9,41
10,38
11,42
12,-1
13,13 71
14,94
15,9 82
16,84
17,20
18,37
19,91
20,83
21,56
22,-1
23,35
24,50
25,98
26,35
27,91
28,-1
29,0 82
30,-1
31,3 12 89
32,52 65
33,84
34,59 69
35,81
36,-1
37,-1
38,98
39,47 85
40,30
41,-1
42,-1
43,10 11 20
44,-1
45,54
46,26 81
47,10
48,6 73
49,49
50,42
51,-1
52,47
53,2
54,81
55,-1
56,-1
57,51
58,-1
59,29
60,43 60
61,49
62,66
63,11
64,31
65,-1
66,10
67,9 30
68,10 14 26
69,59
70,16 37 71 78
71,79 85 96
72,-1
73,-1
74,6
75,69 80
76,77
77,68
78,6 42
79,44
80,-1
81,18
82,10
83,-1
84,37 41
85,-1
86,-1
87,81
88,-1
89,52 65
90,37
91,64
92,47 87
93,-1
94,2
95,17
96,67
97,73
98,82
99,-1
100,26 53
101,75
102,6 73
103,77
104,65
105,53 75
106,55
107,32
108,38
109,22
110,-1
111,-1
112,-1
113,-1
114,27
115,25
116,-1
117,0 15 16 34 45
118,91
119,93
120,-1
121,14
122,19
123,-1
124,77
125,-1
126,3 72 77
127,47 96
128,53 77
129,-1
130,89
131,59 95
132,25 71
133,-1
134,92
135,0 47 65
136,-1
137,60 73
138,25 28 32
139,78 83
140,25
141,-1
142,-1
143,-1
144,-1
145,-1
146,6
147,-1
148,-1
149,-1
150,8
151,97
152,-1
153,84
154,-1
155,37 77
156,-1
157,69
158,58
159,-1
160,-1
161,44 45
162,58
163,78
164,-1
165,98
166,-1
167,37
168,0
169,2 19 44
170,77
171,20 54
172,-1
173,47 67
174,60
175,-1
176,37
177,6 46
178,3 36
179,25 82
180,63
181,62
182,48
183,79
184,16 21
185,-1
186,98
187,-1
188,84
189,-1
190,79
191,54
192,23 87
193,-1
194,60
195,58
196,12
197,-1
198,86
199,32
200,-1
201,87
202,-1
203,19
204,57 68 98
205,-1
206,26
207,77
208,-1
209,97
210,-1
211,-1
212,23
213,37
214,43 84
215,-1
216,21
217,72
218,20
219,38
220,14
221,58
222,94
223,13 38
224,53
225,31
226,56
227,-1
228,20 43
229,13
230,67
231,-1
232,6 71
233,68
234,39
235,0
236,49
237,-1
238,6 55 62 65
239,10 92
240,84
241,-1
242,50
243,-1
244,26 81
245,74
246,-1
247,74
248,54
249,-1
250,38
251,33
252,-1
253,10 49
254,25 82
255,36 54
256,47 96
257,19 23 26
258,13 20 83
259,74
260,10 80 92
261,86
262,-1
263,10
264,36 42
265,57 68 98
266,22 32
267,11
268,-1
269,-1
270,57 68 98
271,42
272,83 97
273,-1
274,10
275,26 81
276,84
277,25 32
278,74
279,91
280,36
281,-1
282,26
283,6 71
284,36 42
285,59
286,62
287,19
288,97
289,-1
290,45
291,26 60 81
292,5
293,77
294,47
295,50
296,-1
297,-1
298,28
299,11
300,56
301,-1
