ID,Predict
0,-1
1,2
2,31
3,23
4,32
5,17
6,37
7,-1
8,-1
9,41
10,38
11,42
12,-1
13,71
14,94
15,9 82
16,84
17,-1
18,37
19,91
20,83
21,56
22,-1
23,35
24,50
25,68
26,15
27,91
28,-1
29,-1
30,-1
31,3 89
32,52 65
33,84
34,59 69
35,81
36,39
37,-1
38,98
39,-1
40,-1
41,-1
42,3 89
43,-1
44,-1
45,54
46,26 81
47,10
48,6 71 73
49,-1
50,42
51,38
52,47
53,2
54,-1
55,-1
56,-1
57,51
58,-1
59,29
60,43
61,49
62,66
63,11
64,-1
65,-1
66,10
67,9 30
68,-1
69,59
70,16
71,85
72,-1
73,-1
74,6
75,80
76,-1
77,-1
78,-1
79,44
80,-1
81,18
82,10
83,-1
84,37 41
85,-1
86,-1
87,-1
88,-1
89,52 65
90,37
91,64
92,47 75 87
93,-1
94,2
95,17
96,67
97,73
98,-1
99,-1
100,53
101,-1
102,6 71
103,77
104,65
105,75
106,-1
107,32
108,38
109,22
110,6
111,-1
112,-1
113,-1
114,27
115,25
116,-1
117,0 34
118,91
119,-1
120,-1
121,-1
122,19
123,-1
124,77
125,-1
126,3 72
127,47 96
128,77
129,-1
130,89
131,53 55 59
132,25 71 82
133,-1
134,-1
135,47
136,-1
137,60
138,25
139,22 78
140,-1
141,-1
142,89
143,-1
144,-1
145,-1
146,-1
147,-1
148,50
149,-1
150,8
151,97
152,-1
153,84
154,-1
155,37 77
156,-1
157,69
158,58
159,-1
160,-1
161,45
162,58
163,78
164,-1
165,98
166,-1
167,37
168,-1
169,2 44
170,77
171,-1
172,-1
173,67
174,60
175,-1
176,-1
177,46
178,-1
179,25
180,63
181,62
182,48
183,79
184,-1
185,-1
186,-1
187,-1
188,84
189,-1
190,79
191,54
192,23
193,74
194,60
195,58
196,12
197,-1
198,86
199,32
200,-1
201,-1
202,-1
203,19
204,57 68 98
205,53
206,26
207,77
208,-1
209,-1
210,-1
211,-1
212,23
213,-1
214,-1
215,-1
216,-1
217,72
218,20
219,-1
220,-1
221,58
222,94
223,13
224,53
225,31
226,-1
227,38
228,43
229,60
230,67
231,-1
232,6 71
233,68
234,39
235,-1
236,49
237,-1
238,53
239,10 92
240,84
241,-1
242,50
243,98
244,26 81
245,74
246,-1
247,-1
248,54
249,-1
250,38
251,33
252,-1
253,49
254,25 82
255,54
256,47 96
257,-1
258,20
259,-1
260,10 80 92
261,86
262,-1
263,10
264,36 42
265,57 68 98
266,32
267,-1
268,-1
269,-1
270,57 68 98
271,42
272,97
273,-1
274,10
275,-1
276,84
277,25
278,-1
279,91
280,-1
281,-1
282,26
283,6
284,36 42
285,59
286,62
287,-1
288,97
289,-1
290,45
291,26 60 81
292,5
293,77
294,47
295,50
296,-1
297,56
298,28
299,11
300,-1
301,-1
302,22 41
303,85
304,97
305,-1
306,41
307,77
308,-1
309,56
310,47
311,44 74
312,33
313,-1
314,2 44
315,-1
316,38
317,26 60 81
318,-1
319,17
320,36
321,71
322,-1
323,43
324,43
325,69
326,16
327,-1
328,-1
329,37
330,-1
331,-1
332,77
333,56
334,66
335,98
336,85
337,-1
338,12
339,67
340,13
341,26 81
342,65
343,20
344,37
345,-1
346,-1
347,52 65
348,20
349,77
350,-1
351,-1
352,48
353,51
354,9 30
355,-1
356,-1
357,-1
358,-1
359,-1
360,9 30
361,78
362,49
363,6 71
364,73 95
365,77 84
366,-1
367,-1
368,10
369,36
370,-1
371,10
372,-1
373,-1
374,23
375,1
376,30
377,-1
378,25
379,-1
380,-1
381,97
382,-1
383,50
384,-1
385,25
386,47
387,62
388,-1
389,81
390,37
391,54
392,81
393,-1
394,60 73
395,24 53
396,79 81
397,47
398,-1
399,54
400,3 72
401,-1
402,78
403,57
404,59
405,-1
406,-1
407,53
408,74
409,47 96
410,-1
411,-1
412,71 82
413,36
414,36
415,-1
416,54
417,2 62
418,-1
419,-1
420,56
421,67
422,-1
423,-1
424,84
425,10 49
426,6 71 73
427,-1
428,95
429,28
430,-1
431,35
432,-1
433,-1
434,-1
435,-1
436,-1
437,-1
438,14 36 42
439,72
440,72
441,11
442,96
443,-1
444,62
445,-1
446,0 34
447,-1
448,-1
449,47
450,63
451,16 21 93
452,-1
453,-1
454,-1
455,50
456,5
457,59
458,10
459,-1
460,-1
461,32
462,-1
463,56
464,57 68 98
465,78
466,-1
467,-1
468,-1
469,69
470,46
471,-1
472,52 65
473,92
474,-1
475,-1
476,-1
477,-1
478,38 91
479,45
480,87
481,-1
482,49
483,95
484,75
485,37
486,-1
487,3
488,46
489,7
490,24
491,20
492,-1
493,15 35
494,53
495,56
496,37
497,-1
498,-1
499,38
500,2 44
501,-1
502,-1
503,38
504,-1
505,22 41
506,53
507,-1
508,-1
509,37
510,8
511,29
512,69
513,65
514,6
515,-1
516,-1
517,-1
518,-1
519,-1
520,-1
521,-1
522,-1
523,83
524,86
525,15 35
526,32
527,-1
528,91
529,27 45
530,7 45
531,62
532,17
533,-1
534,83
535,36 84
536,78
537,90
538,-1
539,16
540,-1
541,37
542,43
543,-1
544,36
545,-1
546,88
547,37
548,0 34
549,24
550,33
551,-1
552,89
553,74
554,38
555,69
556,69
557,-1
558,-1
559,0 34
560,-1
561,-1
562,38 91
563,-1
564,50
565,74 86
566,47
567,-1
568,-1
569,-1
570,-1
571,83
572,63
573,-1
574,38
575,74
576,16
577,13
578,69
579,-1
580,-1
581,-1
582,-1
583,-1
584,-1
585,78
586,19 50
587,9 30 82
588,19 81
589,72
590,-1
591,79
592,-1
593,37
594,38
595,-1
596,-1
597,3
598,62
599,26
600,-1
601,38
602,69
603,0
604,62
605,9 30
606,10
607,59
608,6
609,12
610,60 73
611,47 96
612,44
613,-1
614,31
615,-1
616,-1
617,13
618,-1
619,64
620,9 30
621,42
622,-1
623,60
624,-1
625,58
626,-1
627,62
628,49
629,-1
630,-1
631,66
632,-1
633,-1
634,-1
635,-1
636,0 34
637,-1
638,92
639,39 57 69 98
640,-1
641,13
642,45
643,81
644,13 73
645,-1
646,-1
647,36
648,-1
649,0 34
650,80
651,25
652,-1
653,-1
654,-1
655,92
656,39
657,84
658,-1
659,1 21
660,-1
661,14
662,-1
663,-1
664,-1
665,54
666,43
667,-1
668,-1
669,50
670,41
671,84
672,33
673,-1
674,80
675,-1
676,56
677,-1
678,26 81
679,94
680,10
681,41
682,57 68 98
683,45
684,-1
685,10
686,58
687,-1
688,97
689,-1
690,10
691,90
692,-1
693,-1
694,-1
695,78
696,68 98
697,6 71
698,-1
699,-1
700,63
701,10 80
702,-1
703,-1
704,-1
705,62
706,-1
707,72
708,-1
709,-1
710,50
711,-1
712,12 89
713,-1
714,82
715,-1
716,47 96
717,-1
718,-1
719,-1
720,78
721,77
722,-1
723,98
724,26 81
725,-1
726,10
727,-1
728,49
729,0 34
730,-1
731,-1
732,47
733,39
734,6
735,26 81
736,60
737,-1
738,-1
739,2 31
740,-1
741,-1
742,78
743,96
744,-1
745,-1
746,79
747,26 81
748,42
749,37
750,29
751,57 68 98
752,-1
753,59 75
754,-1
755,39
756,-1
757,48
758,37
759,57 68 98
760,-1
761,47
762,65
763,-1
764,63
765,-1
766,-1
767,56
768,94
769,32
770,-1
771,-1
772,0 34
773,-1
774,80
775,47
776,-1
777,12
778,-1
779,0 34
780,57 68 98
781,-1
782,94
783,15
784,-1
785,-1
786,31
787,-1
788,43
789,20
790,41
791,-1
792,27
793,-1
794,-1
795,54
796,97
797,13
798,71
799,-1
