ID,Predict
0,92
1,2
2,31
3,23
4,-1
5,-1
6,37
7,13
8,-1
9,41
10,38
11,42
12,-1
13,13 71
14,94
15,9 82
16,84
17,-1
18,37
19,91
20,83
21,-1
22,-1
23,35
24,-1
25,98
26,35
27,91
28,-1
29,0 82
30,37
31,3 12 77 89
32,52 65
33,84
34,59 69
35,81
36,-1
37,-1
38,98
39,85
40,58
41,-1
42,89
43,-1
44,-1
45,54
46,26
47,10
48,6 73
49,-1
50,42
51,38
52,47
53,2
54,-1
55,-1
56,-1
57,51
58,-1
59,29
60,43 60 73
61,49
62,66
63,11
64,31 95
65,-1
66,10
67,9 30
68,-1
69,59 75
70,16 37
71,85
72,-1
73,-1
74,6
75,26 80
76,12 77
77,-1
78,-1
79,-1
80,-1
81,18
82,10
83,-1
84,37 41
85,37 60
86,-1
87,-1
88,-1
89,52 65
90,37
91,64
92,47
93,-1
94,2
95,-1
96,67
97,73
98,82
99,-1
100,-1
101,75
102,6 71 73
103,77
104,65
105,75
106,-1
107,-1
108,38
109,22
110,6
111,-1
112,-1
113,-1
114,27
115,25
116,-1
117,0 34
118,91
119,93
120,-1
121,14
122,19
123,-1
124,77
125,12
126,3 72
127,47 96
128,77
129,5
130,89
131,-1
132,25 71
133,-1
134,92
135,47 65
136,-1
137,60 73
138,25
139,22
140,-1
141,-1
142,89
143,-1
144,38
145,-1
146,6
147,-1
148,-1
149,-1
150,8
151,-1
152,-1
153,84
154,-1
155,37 77
156,3 72
157,69
158,58
159,82
160,-1
161,44 45
162,58
163,78
164,-1
165,98
166,-1
167,37
168,-1
169,2 44
170,77
171,-1
172,-1
173,67
174,60
175,-1
176,-1
177,46
178,3 22
179,25
180,63
181,62
182,-1
183,79
184,-1
185,-1
186,68 98
187,-1
188,84
189,-1
190,79
191,54
192,23
193,74
194,60
195,58
196,12
197,-1
198,12 74 86
199,32
200,-1
201,-1
202,-1
203,19
204,68 98
205,-1
206,79
207,-1
208,-1
209,-1
210,82
211,-1
212,23
213,37
214,43
215,-1
216,-1
217,13
218,20
219,-1
220,14
221,58
222,94
223,13
224,53
225,31
226,-1
227,-1
228,20 43
229,-1
230,67
231,-1
232,6 71
233,68
234,8 39
235,0
236,49
237,-1
238,-1
239,10 92
240,81 84
241,-1
242,50
243,-1
244,26 81
245,74
246,-1
247,74
248,54
249,-1
250,-1
251,33
252,-1
253,49
254,25 82
255,36 54
256,47 96
257,23
258,-1
259,21 74
260,10 80 92
261,86
262,-1
263,10
264,36 42
265,57 68 98
266,32
267,11
268,-1
269,-1
270,68 98
271,42
272,97
273,-1
274,10
275,81
276,84
277,25
278,-1
279,91
280,-1
281,-1
282,-1
283,6
284,36 42
285,59
286,62
287,53
288,97
289,-1
290,45
291,26 81
292,5
293,77
294,47
295,50
296,-1
297,-1
298,28
299,11
300,-1
301,-1
302,22
303,85
304,97
305,-1
306,41
307,-1
308,-1
309,-1
310,47
311,44 74
312,33
313,-1
