ID,Predict
0,1 92
1,1 2
2,31
3,23
4,-1
5,17 61
6,37
7,13
8,1
9,1
10,1 38
11,42
12,-1
13,71
14,94
15,1 9 82
16,84
17,-1
18,37
19,91
20,83
21,-1
22,-1
23,1 35
24,6 71
25,68
26,1 35
27,91
28,-1
29,-1
30,-1
31,1 3 12 89
32,52 65
33,84
34,59
35,81
36,39
37,-1
38,98
39,-1
40,-1
41,91
42,1 3 89
43,-1
44,1
45,54
46,26 81
47,10
48,6 73
49,1
50,42
51,-1
52,47
53,1 2
54,-1
55,-1
56,-1
57,1 51
58,-1
59,29
60,43
61,49
62,66
63,1 11
64,31 95
65,-1
66,10
67,9 30
68,26
69,59
70,1 16
71,85
72,-1
73,-1
74,6
75,80
76,1
77,68
78,-1
79,44
80,-1
81,1 18
82,10
83,3
84,1 37 41
85,-1
86,-1
87,-1
88,-1
89,52 65
90,1 12 37
91,64
92,47
93,1
94,2
95,17
96,67
97,73
98,1
99,92
100,-1
101,-1
102,6 71 73
103,1 77
104,1 65
105,75
106,1
107,-1
108,38
109,-1
110,-1
111,-1
112,1
113,-1
114,27
115,25
116,1
117,0 34
118,91
119,-1
120,-1
121,14
122,19
123,-1
124,1
125,1
126,1 3 72
127,1 96
128,77
129,5
130,89
131,1
132,25
133,-1
134,92
135,47 65
136,1
137,60
138,25
139,83
140,30
141,-1
142,87
143,-1
144,38
145,-1
146,-1
147,-1
148,-1
149,-1
150,8
151,-1
152,-1
153,84
154,-1
155,37 77
156,-1
157,69
158,58
159,1
160,-1
161,1 44 45
162,58
163,78
164,1
165,-1
166,-1
167,37
168,-1
169,44
170,77
171,-1
172,-1
173,67
174,60
175,-1
176,1
177,46
178,3
179,-1
180,63
181,62
182,1 48
183,79
184,-1
185,-1
186,68 98
187,-1
188,84
189,1
190,1 79
191,54
192,-1
193,8
194,1 60
195,58
196,12
197,-1
198,12 86
199,1 32
200,1 85
201,-1
202,-1
203,1 19
204,1 68 98
205,-1
206,26
207,77
208,-1
209,-1
210,82
211,-1
212,23
213,1 37
214,43
215,-1
216,-1
217,1
218,1 20
219,-1
220,1
221,1 58
222,94
223,13
224,53
225,31 92
226,-1
227,1
228,1
229,1 60
230,1 58 67
231,-1
232,1 6 71
233,68
234,8 98
235,0
236,49
237,-1
238,-1
239,10 92
240,84
241,-1
242,50
243,-1
244,26 81
245,74
246,-1
247,44 74
248,54
249,-1
250,-1
251,33
252,-1
253,10 49
254,1 25 82
255,1 54
256,47 96
257,23
258,-1
259,1
260,1 10 80 92
261,-1
262,39
263,10
264,1 36 42
265,57 68 98
266,32
267,11
268,-1
269,-1
270,57 68 98
271,42
272,97
273,-1
274,1 10
275,81
276,84
277,25
278,1
279,-1
280,-1
281,-1
282,-1
283,6 71
284,36 42
285,59
286,1 62
287,1
288,1 97
289,-1
290,27 45
291,26 60 81
292,5
293,77
294,47 70
295,50
296,-1
297,-1
298,28
299,11
300,1
301,6 71
302,5 22 41
303,85
304,97
305,-1
306,-1
307,1
308,-1
309,-1
310,47
311,44 74
312,33
313,-1
314,1 2 44
315,79
316,38
317,26 60 81
318,36
319,1 17
320,36
321,71
322,-1
323,43
324,1 43
325,69
326,16
327,72
328,-1
329,1 37
330,-1
331,84
332,77
333,-1
334,66
335,98
336,85
337,-1
338,12
339,67
340,13
341,1 26 81
342,65
343,1 20 83
344,37
345,-1
346,-1
347,-1
348,20
349,24 77
350,-1
351,1
352,48
353,51 77
354,9 30
355,1 37
356,-1
357,-1
358,-1
359,-1
360,9 30
361,1 78
362,49
363,6 71
364,13 73 95
365,84
366,1 79
367,1
368,10
369,10 36
370,-1
371,10
372,-1
373,-1
374,23
375,1
376,30
377,-1
378,25
379,1 74
380,1
381,97
382,1 43
383,50
384,-1
385,25
386,47
387,62
388,-1
389,81
390,37
391,11 54
392,81
393,-1
394,60 73
395,24 53
396,79 81
397,47 65
398,37
399,54
400,72
401,1
402,1 78
403,57
404,59
405,-1
406,1
407,53
408,74
409,47 96
410,-1
411,-1
412,71 82
413,36
414,36
415,-1
416,11 54
417,2
418,-1
419,26
420,-1
421,67
422,56
423,-1
424,1 84
425,49
426,1 6 73
427,1
428,95
429,28
430,-1
431,35
432,6 71
433,-1
434,1
435,1
436,1
437,38
438,36 42
439,3 72
440,72
441,11
442,96
443,-1
444,62
445,8
446,0 34
447,-1
448,1
449,47
450,63
451,1 16 21
452,1
453,48
454,1 84
455,6 50 71 79
456,5
457,59
458,1 10
459,-1
460,-1
461,-1
462,37
463,56
464,1 57 68 98
465,78
466,-1
467,-1
468,-1
469,74
470,46
471,12 77
472,52 65
473,92
474,1
475,1
476,-1
477,98
478,38 91
479,45
480,-1
481,-1
482,10 49 84
483,1 95
484,-1
485,37
486,53 56
487,3
488,46
489,-1
490,-1
491,1 83
492,1 63
493,15 35
494,1 53
495,1 20 43 56
496,-1
497,37
498,-1
499,38
500,2 44
501,1
502,-1
503,-1
504,-1
505,5 22 41
506,49
507,1
508,1 74
509,-1
510,8
511,1 29
512,69
513,65
514,6 71
515,-1
516,-1
517,26
518,1
519,1
520,1
521,1
522,-1
523,97
524,86
525,15 35
526,32
527,13 71
528,-1
529,1 27 45
530,27 45
531,62
532,17 18 77
533,-1
534,83
535,1 36 84
536,78
537,1 90
538,12 20
539,-1
540,-1
541,37
542,1 43
543,-1
544,1 36
545,-1
546,88
547,-1
548,0 34
549,24
550,33
551,95
552,89
553,1 74
554,-1
555,69
556,1 69
557,-1
558,1
559,0 34
560,-1
561,6 71
562,38 91
563,25
564,50
565,1 74 86
566,47
567,-1
568,6 71
569,-1
570,1
571,-1
572,1
573,92
574,1 38
575,74
576,16
577,13
578,69
579,-1
580,1
581,-1
582,-1
583,-1
584,6 71 78
585,78
586,19 50 79
587,9 30 82
588,1 19 81
589,-1
590,10
591,-1
592,-1
593,37
594,38
595,16 56
596,-1
597,3
598,62
599,26
600,-1
601,38 91
602,69
603,-1
604,62
605,9 30
606,10
607,59
608,6 71
609,12
610,60 73
611,47 96
612,62
613,-1
614,-1
615,-1
616,6 71
617,13 53
618,1
619,64
620,9 30
621,42
622,-1
623,60
624,-1
625,58
626,37
627,1 62
628,1 49
629,-1
630,10
631,66
632,-1
633,-1
634,1
635,-1
636,0 34
637,-1
638,92
639,1 59
640,-1
641,13
642,1 45
643,81
644,13
645,-1
646,-1
647,36
648,84
649,0 34
650,80
651,6 25 71 82
652,-1
653,1
654,3
655,92
656,39
657,84
658,6 51 71
659,1 71
660,-1
661,14
662,-1
663,98
664,-1
665,54
666,43
667,-1
668,12 79
669,-1
670,29 41
671,1 84
672,33
673,11
674,80
675,25
676,-1
677,-1
678,26 81
679,94
680,10
681,1 41
682,57 68 98
683,45
684,1
685,10
686,58
687,83
688,97
689,-1
690,10 65
691,90
692,56
693,-1
694,1
695,78
696,1 98
697,6 71
698,1
699,84
700,1
701,10 80
702,1
703,49
704,-1
705,-1
706,-1
707,72
708,6 71
709,1
710,6 50 71
711,1
712,12 89
713,-1
714,1 82
715,-1
716,47 96
717,35
718,1
719,-1
720,6 78
721,-1
722,1
723,-1
724,26 81
725,-1
726,1 10
727,1
728,49
729,0 1 34
730,-1
731,-1
732,-1
733,39 85
734,1 6
735,26 81
736,64
737,-1
738,1 58
739,2 31
740,-1
741,-1
742,78
743,96
744,-1
745,-1
746,1 79
747,26
748,6 42 71
749,37
750,29
751,57 68 98
752,-1
753,59 75
754,5
755,39
756,-1
757,-1
758,1 37
759,57 98
760,-1
761,47
762,52 65
763,1
764,-1
765,-1
766,-1
767,43
768,94
769,1 32
770,-1
771,-1
772,0 16 34
773,-1
774,-1
775,47
776,-1
777,-1
778,1
779,0 34
780,1 57 68 98
781,1 10
782,1 94
783,35
784,1
785,1
786,31
787,-1
788,1
789,20
790,41
791,-1
792,27
793,-1
794,-1
795,1 54
796,97
797,13 71
798,-1
799,-1
