ID,Predict
0,92
1,2
2,31
3,23
4,32
5,53
6,37
7,13
8,-1
9,41
10,38 60
11,42
12,-1
13,71
14,94
15,9 82
16,84
17,20
18,37
19,-1
20,83
21,-1
22,-1
23,35
24,-1
25,98
26,35
27,91
28,53
29,-1
30,-1
31,3 89
32,52 65
33,84
34,59
35,81
36,-1
37,-1
38,98
39,85
40,58
41,-1
42,89
43,10
44,-1
45,54
46,26
47,10
48,6 73
49,-1
50,42
51,-1
52,47
53,2
54,-1
55,-1
56,-1
57,51
58,-1
59,29
60,43
61,49
62,66
63,11
64,31 95
65,-1
66,10
67,9 30
68,-1
69,59 75
70,16
71,85 96
72,-1
73,-1
74,6
75,80
76,77
77,68
78,-1
79,44
80,-1
81,18
82,10
83,-1
84,37 41
85,37 60
86,-1
87,-1
88,-1
89,52 65
90,37
91,64
92,47
93,-1
94,2
95,17 61
96,67
97,73
98,-1
99,92
100,53
101,75
102,6 73
103,77
104,65
105,75
106,-1
107,32
108,38
109,22
110,6
111,-1
112,27
113,-1
114,27
115,25
116,-1
117,0 34
118,-1
119,93
120,-1
121,-1
122,19
123,-1
124,77
125,12
126,72
127,47 96
128,77
129,-1
130,89
131,59
132,25
133,-1
134,92
135,47
136,-1
137,60
138,25
139,-1
140,-1
141,-1
142,-1
143,-1
144,38
145,-1
146,-1
147,-1
148,-1
149,-1
150,8
151,-1
152,-1
153,84
154,-1
155,37 77
156,72
157,69
158,58
159,-1
160,36
161,44 45
162,58
163,78
164,-1
165,98
166,-1
167,37
168,-1
169,2 44
170,77
171,-1
172,-1
173,67
174,60
175,15
176,-1
177,46
178,3
179,25 82
180,63
181,62
182,48
183,79
184,-1
185,-1
186,98
187,-1
188,84
189,-1
190,79
191,54
192,-1
193,74
194,60
195,58
196,12
197,-1
198,86
199,32
200,-1
201,87
202,-1
203,19
204,57 68 98
205,-1
206,-1
207,77
208,-1
209,-1
210,82
211,-1
212,23
213,37
214,43
215,-1
216,-1
217,72
218,20
219,-1
220,-1
221,58
222,-1
223,13
224,53
225,31
226,56
227,-1
228,20 43
229,60
230,67
231,-1
232,6 71
233,68
234,-1
235,0
236,49
237,-1
238,-1
239,10 92
240,84
241,-1
242,50
243,-1
244,26 81
245,74
246,-1
247,74
248,54
249,-1
250,38
251,33
252,53
253,26 49
254,25 82
255,54
256,47 96
257,23
258,20
259,-1
260,10 80 92
261,-1
262,39
263,10
264,36 42
265,57 68 98
266,32
267,11
268,-1
269,-1
270,98
271,42
272,97
273,-1
274,10
275,81
276,84
277,25
278,-1
279,-1
280,36
281,-1
282,26
283,6 71
284,36 42
285,59
286,62
287,-1
288,97
289,-1
290,45
291,26 60 81
292,5
293,77
294,47
295,50
296,-1
297,-1
298,28
299,11
300,56
301,-1
302,22
303,85
304,97
305,-1
306,41
307,-1
308,-1
309,-1
310,47
311,44 74
312,33
313,-1
314,2 44
315,-1
316,-1
317,26 60 81
318,-1
319,17
320,36
