ID,Predict
0,92
1,2
2,31
3,23
4,32
5,17
6,37
7,-1
8,-1
9,41
10,38
11,42
12,85
13,13 56 71
14,94
15,9 82
16,84
17,-1
18,37
19,91
20,83
21,-1
22,-1
23,35
24,50
25,98
26,35
27,91
28,53
29,-1
30,-1
31,3 89
32,52 65
33,84
34,59
35,81
36,-1
37,-1
38,98
39,-1
40,58
41,-1
42,3 89
43,10
44,-1
45,54
46,26 81
47,10
48,6 73
49,-1
50,42
51,38
52,47
53,2
54,78
55,-1
56,-1
57,51
58,-1
59,29
60,43
61,49
62,66
63,11
64,31 95
65,-1
66,10
67,9 30
68,-1
69,59
70,16
71,85
72,-1
73,-1
74,-1
75,80
76,-1
77,-1
78,-1
79,44
80,-1
81,18
82,10
83,12
84,37 41 81
85,37
86,-1
87,-1
88,-1
89,65
90,12 37
91,-1
92,38 75 87
93,-1
94,2
95,-1
96,67
97,73
98,82
99,-1
100,-1
101,75
102,6 73
103,77
104,65
105,75
106,-1
107,-1
108,38
109,22
110,-1
111,-1
112,-1
113,-1
114,-1
115,25
116,-1
117,0 34
118,91
119,93
120,-1
121,14
122,19
123,-1
124,-1
125,-1
126,3 72
127,47 96
128,77
129,-1
130,89
131,59
132,25
133,85
134,-1
135,47
136,-1
137,60
138,25
139,-1
140,-1
141,-1
142,-1
143,-1
144,38
145,-1
146,-1
147,-1
148,-1
149,-1
150,8
151,-1
152,15
153,84
154,-1
155,37 77
156,-1
157,69
158,58
159,-1
160,36
161,45
162,58
163,78
164,-1
165,98
166,-1
167,37
168,-1
169,2
170,77
171,-1
172,-1
173,67
174,60
175,-1
176,-1
177,46
178,3
179,25
180,63
181,62
182,48
183,79
184,-1
185,-1
186,-1
187,-1
188,84
189,-1
190,79
191,54
192,-1
193,-1
194,60
195,58
196,12
197,-1
198,86
199,32
200,-1
201,87
202,-1
203,19
204,98
205,-1
206,-1
207,-1
208,-1
209,-1
210,-1
211,-1
212,23
213,37
214,43
215,-1
216,-1
217,-1
218,20
219,38
220,-1
221,58
222,94
223,-1
224,53
225,31
226,-1
227,-1
228,20 43
229,-1
230,67
231,95
232,6 71
233,68
234,-1
235,-1
236,-1
237,-1
238,23 55
239,10 92
240,84
241,-1
242,-1
243,-1
244,26 81
245,74
246,-1
247,-1
248,54
249,-1
250,38
251,33
252,-1
253,49
254,25 30 82
255,54 86
256,47 96
257,39
258,-1
259,-1
260,10 80 92
261,86
262,-1
263,10
264,36 42
265,57 68 98
266,32
267,11
268,-1
269,-1
270,57 98
271,42
272,83 97
273,-1
274,10
275,-1
276,84
277,25
278,-1
279,91
280,-1
281,-1
282,79
283,-1
284,36 42
285,59
286,62
287,53
288,97
289,-1
290,45
291,26 60 81
292,5
293,77
294,47
295,-1
296,-1
297,-1
298,28
299,11
300,-1
301,-1
302,22
303,85
304,83 97
305,-1
306,41
307,-1
308,-1
309,-1
310,47
311,44 74
312,33
313,-1
314,2 44
315,-1
316,38
